"","sample1","sample2","bNRI","RC","Process","Process_contribution"
"CWR.1","CWRTRS2Y_2019","CWRTRS1Y_2019",-1.24253063683084,-0.992,"Homogenizing dispersal",1
"CWR.2","CWRTRS3Y_2019","CWRTRS1Y_2019",-2.11612643654743,0.906,"Environmental filtering",1
"CWR.3","CWRTRS4Y_2019","CWRTRS1Y_2019",-1.27633887179267,-0.783,"Ecological Drift",1
"CWR.4","CWRTRS5Y_2019","CWRTRS1Y_2019",-1.19691715858955,-0.273,"Ecological Drift",1
"CWR.5","CWRTRS6Y_2019","CWRTRS1Y_2019",-2.610832251472,0.26,"Environmental filtering",1
"CWR.6","CWRTRS3Y_2019","CWRTRS2Y_2019",-1.68652563530776,-0.99,"Homogenizing dispersal",1
"CWR.7","CWRTRS4Y_2019","CWRTRS2Y_2019",-1.08814260072694,-0.917,"Ecological Drift",1
"CWR.8","CWRTRS5Y_2019","CWRTRS2Y_2019",-0.93085014792361,-0.26,"Ecological Drift",1
"CWR.9","CWRTRS6Y_2019","CWRTRS2Y_2019",-1.98344854835444,0.77,"Ecological Drift",1
"CWR.10","CWRTRS4Y_2019","CWRTRS3Y_2019",-1.85970404399546,-0.478,"Ecological Drift",1
"CWR.11","CWRTRS5Y_2019","CWRTRS3Y_2019",-1.71199956868549,0.763,"Ecological Drift",1
"CWR.12","CWRTRS6Y_2019","CWRTRS3Y_2019",-3.05337502442821,1,"Environmental filtering",1
"CWR.13","CWRTRS5Y_2019","CWRTRS4Y_2019",-0.923808473684268,-0.184,"Ecological Drift",1
"CWR.14","CWRTRS6Y_2019","CWRTRS4Y_2019",-2.1961128071217,0.974,"Environmental filtering",1
"CWR.15","CWRTRS6Y_2019","CWRTRS5Y_2019",-2.09279043435356,0.696,"Environmental filtering",1
"DMR.1","DMRTRS2Y_2019","DMRTRS1Y_2019",-1.8418599155377,0.799,"Ecological Drift",1
"DMR.2","DMRTRS3Y_2019","DMRTRS1Y_2019",-1.47311132762077,-0.998,"Homogenizing dispersal",1
"DMR.3","DMRTRS4Y_2019","DMRTRS1Y_2019",-1.88994677089913,0.0640000000000001,"Ecological Drift",1
"DMR.4","DMRTRS5Y_2019","DMRTRS1Y_2019",-2.65207160138874,0.052,"Environmental filtering",1
"DMR.5","DMRTRS6Y_2019","DMRTRS1Y_2019",-2.51574995538624,0.994,"Environmental filtering",1
"DMR.6","DMRTRS3Y_2019","DMRTRS2Y_2019",-0.147121768687961,-0.703,"Ecological Drift",1
"DMR.7","DMRTRS4Y_2019","DMRTRS2Y_2019",-0.992856713635241,0.675,"Ecological Drift",1
"DMR.8","DMRTRS5Y_2019","DMRTRS2Y_2019",-1.62089870776287,-0.689,"Ecological Drift",1
"DMR.9","DMRTRS6Y_2019","DMRTRS2Y_2019",-1.62942865165208,0.851,"Ecological Drift",1
"DMR.10","DMRTRS4Y_2019","DMRTRS3Y_2019",-0.167218693605613,0.638,"Ecological Drift",1
"DMR.11","DMRTRS5Y_2019","DMRTRS3Y_2019",-1.03323335078041,-0.034,"Ecological Drift",1
"DMR.12","DMRTRS6Y_2019","DMRTRS3Y_2019",-0.63229961547566,0.885,"Ecological Drift",1
"DMR.13","DMRTRS5Y_2019","DMRTRS4Y_2019",-1.64790308407854,-0.309,"Ecological Drift",1
"DMR.14","DMRTRS6Y_2019","DMRTRS4Y_2019",-1.47368411408803,0.509,"Ecological Drift",1
"DMR.15","DMRTRS6Y_2019","DMRTRS5Y_2019",-2.24232936872311,0.369,"Environmental filtering",1
"HSC.1","HSCTRS2Y_2019","HSCTRS1Y_2019",-1.29480523861482,0.299,"Ecological Drift",1
"HSC.2","HSCTRS3Y_2019","HSCTRS1Y_2019",-3.04656868238765,0.673,"Environmental filtering",1
"HSC.3","HSCTRS4Y_2019","HSCTRS1Y_2019",-1.21957021384659,-0.947,"Ecological Drift",1
"HSC.4","HSCTRS5Y_2019","HSCTRS1Y_2019",-0.0654124969489555,1,"Dispersal limitation",1
"HSC.5","HSCTRS6Y_2019","HSCTRS1Y_2019",-2.18630945073824,0.981,"Environmental filtering",1
"HSC.6","HSCTRS3Y_2019","HSCTRS2Y_2019",-1.36985580093925,-0.037,"Ecological Drift",1
"HSC.7","HSCTRS4Y_2019","HSCTRS2Y_2019",-0.393343358305864,0.38,"Ecological Drift",1
"HSC.8","HSCTRS5Y_2019","HSCTRS2Y_2019",1.51026266357797,0.913,"Ecological Drift",1
"HSC.9","HSCTRS6Y_2019","HSCTRS2Y_2019",-0.834526561966357,0.637,"Ecological Drift",1
