"","HPC1611","HPC1612","HPC1615","HPC1618","HPC1619","HPC1621","HPC1622","HPC1623","HPC1625","HPC1626","HPC1627","HPC1628","HPC1629","HPC1630","HPC1631","HPC1632","HPC1633","HPC1634","HPC1635","HPC1637","HPC1638","HPC1639","HPC1640"
"00b9f7cfaad6714a0a740d4a6d92c2e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,8,6,0,8,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"00fb68e47adfc60c29b079702dd3a7e0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"01404cb98895d58a0181327432d1777d",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"0185932c3c7166d85ef932de1b14cfe1",0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02217ce5774022c7404c6bd0d4a2ccf9",0,0,0,2,0,0,2,8,10,0,7,0,0,0,0,4,9,0,0,1,0,0,0
"02220fccc405a8b8f9b18ba70c9ab6b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"02572cbf807aaf23803bc3e7e6926af9",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
"02b1f2a0da8827e721e10015f98811e6",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"033f5bd5245fd93273db013ecfaf1fb0",0,0,0,0,10,0,0,107,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0
"035bcd1d9af45acab031b1b03fdb7aac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"03b7772f2168ac3e041fec207cd257cf",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05703ed30530df3decdded2e69235587",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0,0,0
"069563643cf6909aa9670ae7c0588c74",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"069f183ab5a5cf8d67d73bc695809c6b",0,0,0,0,0,0,0,372,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",0,0,8,0,0,0,4,0,0,1,2,0,0,2,0,3,4,0,38,3,1,0,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,0,0,1,0,0,0,0,1,0,3,7,0,0,0,0,2,0,0,2,0,0,0
"0798bc4b2b5f721f76fce95fa7c4ad65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0837b657c1d1f43f280ef2435311c939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0
"088afd5a3a18b602d8b1603556719420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"089e7f00e2341df2db9e7129ee161aa1",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"08ca358ce38892e235f7054771e57b93",0,0,0,2,18,0,2,0,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0
"09c7a9b0d7e4534dd1b9563ecb91de1f",0,0,0,0,0,2,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0
"0a55820148562eef7c47af5ab05610b8",0,0,1,17,2,4,8,16,0,15,0,6,25,3,0,0,0,0,0,0,0,2,0
"0a7fe3595e40caeafecb26f55ecf526d",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,192,0,0,0
"0aeeef473c13d3b4fd4fd74efec556e4",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b19538c4616c2e4675c64cbf73a3372",0,0,9,88,11,15,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b3ca4470e07693f7027a1ef404c9c24",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,2,3,2,2,0,0,0,1,0,3,0,2,0,0,1,0,0,0,4,10,1
"0ddc4f9500212f1dda7e91831770186a",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0eaea4817728b1b9fc908a08e1fba154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"0f29aec4e7dafdd70a57ac1e3c3f6dcf",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f5c88a54d6007485912717d5bafb999",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
