"","HPC1433","HPC1434","HPC1436","HPC1437","HPC1438","HPC1440","HPC1441","HPC1442","HPC1443","HPC1444","HPC1446","HPC1447","HPC1448","HPC1449","HPC1452","HPC1453","HPC1454","HPC1455","HPC1456","HPC1457","HPC1458","HPC1459","HPC1460"
"008167913ce8eac6ad6cb522d7a1990a",0,0,0,0,0,0,0,0,0,161,0,0,0,72,0,0,6,0,125,0,0,0,0
"00832a3584b7b6a7974ad9794d181080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01404cb98895d58a0181327432d1777d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"0176faebc1401add55c602c315bdfb31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"026c46cdc1ae3f6cf9501beb54fa2532",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
"02b1f2a0da8827e721e10015f98811e6",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"035bcd1d9af45acab031b1b03fdb7aac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"03b7772f2168ac3e041fec207cd257cf",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,11,0,0,0,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"08250c855de3e12cde8e15dcacffd4a6",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0837b657c1d1f43f280ef2435311c939",0,5,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"09c7a9b0d7e4534dd1b9563ecb91de1f",0,0,684,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
"0a55820148562eef7c47af5ab05610b8",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"0a667e34252be42cc613e4f2259d1b1c",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",0,12,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0b13fa184028c77f264c71b3c41ff3c4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0b2a6a480ce04bf8dc8254472ddeb9eb",85,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,2,2
"0db587bb2a24679c3dedd2f3d99bdffe",0,30,0,8,77,0,0,0,0,157,0,9,0,0,37,0,0,0,15,0,0,0,0
"0f047104074602e77bdf9312dbc164a9",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f9715c39ff1dd298c99a40c8caaacb3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0fa1fae74f9f9dffe32d78d11dd84a59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,7
"0fd24fb9edc352a688fa95e24733afdf",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10682ee1eb9e040a49b00b35f5920015",0,0,0,0,0,77,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"10839859eac5ca8431ee848d9f00803f",0,0,1,0,0,0,0,39,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5
"108cbc975ea4ac83a7fa3c8220bc89d7",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"10e5f4a0a45782e74568a9ed32c54bbe",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1168bb363a67a1cfdc8133ccf81b8e13",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133065a88b4fbf1d3e133afe0e6564b3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
"13e7d8f598035447d123840e986a771a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"14e02c3f063caa94b0cc4cd379e48340",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153c5d5a5b9fe379c68c13edd0d4e718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0
"156b18a672954bed155804f37327c646",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
