"","HPC1642","HPC1643","HPC1645","HPC1648","HPC1649","HPC1650","HPC1651","HPC1652","HPC1654","HPC1655","HPC1657","HPC1661","HPC1662","HPC1663","HPC1664","HPC1665","HPC1667","HPC1668","HPC1669","HPC1662KNZ"
"00832a3584b7b6a7974ad9794d181080",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
"00b9f7cfaad6714a0a740d4a6d92c2e7",0,12,0,0,0,0,0,2,15,7,2,0,0,0,0,0,0,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"02b1f2a0da8827e721e10015f98811e6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02fe720e318c829f48ced96b71e9ae99",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"0348c6c9ea978f89c82727bee5564d4c",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"03a1d1b68f39575c6b8e0e87de08cff7",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"04a1f78a9b42466fa892dbb5d9712e73",0,0,0,0,0,0,0,0,0,0,118,13,0,0,130,17,0,0,0,0
"050bfd02104f80d631b377e3841cc73d",0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05703ed30530df3decdded2e69235587",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05af9519d853e5639f9b6b44467282fe",0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05d6774de2a5887116af407b2188065a",0,1,0,2,0,11,0,0,3,0,0,0,1,5,0,0,0,0,0,1
"069563643cf6909aa9670ae7c0588c74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",43,7,14,8,2,31,3,25,110,76,1,58,51,3,201,13,17,15,7,46
"0837b657c1d1f43f280ef2435311c939",0,0,0,10,2,0,1,13,0,0,0,0,0,0,0,0,0,4,0,0
"08ca358ce38892e235f7054771e57b93",47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09a89a3685785c1fb61e6a60ac46a7bc",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09d8c46bf96a2781fb219eccffc2f75f",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a1c83f2d25bd167f5266c6ec68a0174",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",0,1,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0
"0ada5f4de5ba3335d39592c00e2b5c14",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"0ae83476180e4baae11f6b7225d9815d",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"0b19538c4616c2e4675c64cbf73a3372",0,0,0,5,0,8,0,0,135,0,3,6,0,3,4,6,24,1,20,0
"0b3ca4470e07693f7027a1ef404c9c24",0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"0d136193a495427b25467923bbf469bd",3,4,0,0,0,0,0,4,0,14,0,0,0,25,0,1,10,0,0,0
"0d30f03a89e08e2c570de556a4032d00",0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,0,0,3,1,3,0,1,1,0,0,0,0,0,28,0,0,0,0
"0deac369a5fb83b8203038374103c545",0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0
"0e1c3eb39d3e4c237e8f682745caaceb",0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"0e6ead526832eec2aa8175400ab0ea29",0,5,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f5c88a54d6007485912717d5bafb999",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105c0710d035b53930b0bad9a8daa8a1",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110e156c86d57328fa8679d6d062782e",0,0,6,34,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"12081ff9c48c809bcd85b29b7a5011ee",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1275950e2ff128b474b7ecd7b5256333",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128a7930b5f5e4376c85a4d10e619b67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"128ed17cb7931cd03f546d81102936b6",0,0,0,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"12e2b8025c4538e9da7e719ee9590d3f",5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13e7d8f598035447d123840e986a771a",0,0,0,0,0,0,0,0,0,0,0,0,26,23,13,0,0,0,0,38
"149ad0f81495a63b10c015eb64c9cb16",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"157a3ae68f649aa19985b36aeb2b5cc6",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0
"1621f9afddf139e3c5fda841eaa78968",0,0,0,0,0,0,0,0,17,1,95,16,0,0,15,0,15,0,0,0
"16e55c99632146e819f47e623bdf2194",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"17c3ac8d97271940b3d9c956e97057a9",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17e3269c6377143ae4d7fdd2c88aef45",2,2,0,0,1,0,1,3,0,0,3,0,9,0,3,4,0,3,0,0
"1865baa970105b9d8ae8063fb9ba26bd",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"1985cd54ab819b16fedcef9dc1aa435a",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ad668a41aac5debc81f6a3ce19880d9",5,3,0,0,0,0,0,0,0,3,4,0,0,1,0,0,7,0,0,0
"1b008844ab1e1200398d3a38eeafcf19",0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"1b5e0e454ab7ebb804e1a7790dd16aba",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"1b74fe0dc73b1a4a18640db200b5f78d",0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,2,37,58,0
"1c4cd61e295870e81876450db56481a5",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1d8aca6733efbdca55134d3d6eb1d5b8",0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,6,0
"1db34a3c2faac40962039ce55ddf2e6c",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"1e3664d43cb955b61387aa11d1dddfd0",0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f7c2d848e18b62b3508f645fe387cb6",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"2043997cfb99492760e2f9ac5c5d0173",0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2046bb0f26fadcdf415fc402a9d93679",0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2049dbf2c8ae54415643a66af8b44b16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
