"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"008167913ce8eac6ad6cb522d7a1990a",0,0,4,0,1,0,2,11,0,102,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"01404cb98895d58a0181327432d1777d",1,0,0,8,13,0,3,0,0,9,0,50,0,2,19,0,0,0,2,26,0,0,8,34
"035bcd1d9af45acab031b1b03fdb7aac",0,32,0,0,0,0,157,50,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,0,0,0,0,20,0,0,0,0,0,15,0,0,0,3,0,3,5,5,0,0
"0687a2a4e93a91db213eaf4c97fbba2e",0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0814700c3c601fa02ee43c1b6838e4e6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"08250c855de3e12cde8e15dcacffd4a6",0,0,0,0,0,0,0,0,5,0,1,0,70,0,0,0,0,0,0,0,14,0,6,0
"0890c5dc3a8f393f1c03994efbc9b0c0",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"09c7a9b0d7e4534dd1b9563ecb91de1f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a55820148562eef7c47af5ab05610b8",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",1,0,0,1,0,24,0,25,0,0,0,0,2,9,0,0,0,5,0,179,0,0,0,0
"0b2a6a480ce04bf8dc8254472ddeb9eb",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cde90f43f801d279fa011bfb4c6b3a6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"0d30f03a89e08e2c570de556a4032d00",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,0,6,2,0,3,3,4,4,0,0,0,0,2,0,1,0,0,0,0,0,1,3
"0db587bb2a24679c3dedd2f3d99bdffe",0,0,0,0,0,0,196,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
"0fa1fae74f9f9dffe32d78d11dd84a59",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105c0710d035b53930b0bad9a8daa8a1",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10839859eac5ca8431ee848d9f00803f",0,1,5,3,0,0,1,0,0,0,0,0,2,2,0,0,19,0,0,0,0,33,12,0
"108cbc975ea4ac83a7fa3c8220bc89d7",0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0
"10e5f4a0a45782e74568a9ed32c54bbe",0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0
"12081ff9c48c809bcd85b29b7a5011ee",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"128a7930b5f5e4376c85a4d10e619b67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"1306cfc10b8ca165e6efb11e3595ef4b",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133065a88b4fbf1d3e133afe0e6564b3",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13e7d8f598035447d123840e986a771a",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
"13fed5d2205932c2e96bc819c9c15c5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"140acf302629ce8a6c92b6ee6e949a53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"14130b7ecf57d356da3280f9778c3f1b",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143de015385a62581309a55c2283d70c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14e02c3f063caa94b0cc4cd379e48340",0,0,0,0,0,0,5,0,0,12,0,0,0,0,81,0,0,0,0,0,0,0,0,0
