"","HPC1671","HPC1672","HPC1673","HPC1674","HPC1675","HPC1676","HPC1677","HPC1678","HPC1679","HPC1680","HPC1681","HPC1682","HPC1684","HPC1685","HPC1686","HPC1687","HPC1688","HPC1689","HPC1690","HPC1691","HPC1693","HPC1694","HPC1695","HPC1696","HPC1697","HPC16971","HPC1698","HPC1699","HPC1700","HPC1701","HPC1702","HPC1703","HPC1704","HPC1705","HPC1706","HPC1707","HPC1708","HPC1709","HPC1710","HPC1711","HPC1712","HPC1713","HPC1714","HPC1715","HPC1716","HPC1717","HPC1718","HPC1719","HPC1720","HPC17201","HPC1721","HPC1722","HPC1723","HPC1724","HPC1725","HPC1726","HPC1727","HPC1728","HPC1729","HPC1730"
"008167913ce8eac6ad6cb522d7a1990a",0,0,0,0,0,0,0,0,0,2,0,35,0,13,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b9f7cfaad6714a0a740d4a6d92c2e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011fa9a4d5f5094db7fa13e0deec3475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01404cb98895d58a0181327432d1777d",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"0180b9cddc616bc73cb330e1475e4808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,30,0,0,0
"0185932c3c7166d85ef932de1b14cfe1",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019b0519517852defce025ec2f3a43f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01c7863997c76ec9b6edf09720da3d75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"02217ce5774022c7404c6bd0d4a2ccf9",0,0,0,1,0,3,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,5,0,0,0,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
"025476b7795071c7a4ac3ef5f26c4ea7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"026c46cdc1ae3f6cf9501beb54fa2532",0,8,0,0,0,0,10,0,0,0,4,4,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,0,0,0,1,0,0,0,0,0,0,5
"033f5bd5245fd93273db013ecfaf1fb0",0,0,0,18,0,16,0,1,12,0,0,0,19,11,0,6,0,0,0,0,0,0,1,9,3,3,5,17,0,0,0,0,0,6,4,0,0,0,13,48,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"035bcd1d9af45acab031b1b03fdb7aac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"03b7772f2168ac3e041fec207cd257cf",0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",0,0,2,1,0,11,13,12,0,0,0,1,0,0,0,0,0,0,6,0,54,0,5,4,13,14,70,0,0,0,0,0,3,25,9,20,1,0,78,6,3,3,34,4,1,0,4,5,3,1,10,0,39,4,2,15,14,1,1,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"0837b657c1d1f43f280ef2435311c939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08ca358ce38892e235f7054771e57b93",0,0,0,0,3,30,22,23,3,0,4,8,0,4,9,7,24,15,1,0,44,8,184,20,0,0,7,92,16,4,21,3,0,0,4,36,0,34,3,2,0,4,7,0,0,0,0,0,1,3,0,0,0,0,9,7,0,0,0,0
"0903918b3071a83f760bf2001007ad1a",0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,229,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,288,0
"0a1c83f2d25bd167f5266c6ec68a0174",0,0,0,0,0,0,0,1,0,0,21,0,6,2,8,0,2,3,0,0,0,5,3,0,0,0,0,0,10,0,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,1,4,10,17,5,0
"0a667e34252be42cc613e4f2259d1b1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"0a6c2744f3fd46a27df769862d9f51ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,20,3,0,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,4,0,12,4,0,0,0,0,0,26,22,70,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,4,0,1,0,0,1,0,0,6,1,6,0,1,0,0,0,0
"0aaa7a386861e8d20ecd463c71506aed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ada5f4de5ba3335d39592c00e2b5c14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0afb9118d3f6846414574d46471c3c59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
