"","HPC1552","HPC1553","HPC1555","HPC1556","HPC1560","HPC1561","HPC1563","HPC1564","HPC1565","HPC1567","HPC1568","HPC1569","HPC1570","HPC1571","HPC1572","HPC1573","HPC1574","HPC1576","HPC1577","HPC1578","HPC1579","HPC1580"
"00b9f7cfaad6714a0a740d4a6d92c2e7",0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"00d68b2855f660cd2fee44bf26b3821c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0
"0180b9cddc616bc73cb330e1475e4808",0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"036296b590ab233649b3d8c5effdae3c",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03b7772f2168ac3e041fec207cd257cf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,113
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"0446368341dbe1c357e807f26d473cf7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"0451e479239cc42616200ec547dbcb12",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0483edc31280cd96e0faf9c5d2bac65f",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05af9519d853e5639f9b6b44467282fe",0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
"05c7b894703fa5faec6738c6a371c601",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05d6774de2a5887116af407b2188065a",9,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",35,85,58,10,25,136,6,16,44,2,0,3,46,3,28,35,60,0,9,0,0,23
"06eeae92fa350383a1959449d0f4962e",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07280755834d1922dbd391b13ddcc636",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,2
"0837b657c1d1f43f280ef2435311c939",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"08ca358ce38892e235f7054771e57b93",50,0,0,0,0,0,0,0,0,1,3,0,33,0,0,0,0,0,0,0,0,0
"09a89a3685785c1fb61e6a60ac46a7bc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"0a1c83f2d25bd167f5266c6ec68a0174",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a7fe3595e40caeafecb26f55ecf526d",1,22,8,0,0,0,0,0,3,0,2,8,0,0,5,0,0,0,0,0,18,0
"0ada5f4de5ba3335d39592c00e2b5c14",0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,9,0,0,0,0,0
"0b3ca4470e07693f7027a1ef404c9c24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"0c4f251dd001c1d8f7bfc684cfd16c9e",0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0
"0d136193a495427b25467923bbf469bd",112,0,0,0,0,0,34,1,3,14,0,0,0,11,0,19,0,0,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,0,0
"0de200022a3685b2bd932cb5a318f9d3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0deac369a5fb83b8203038374103c545",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"0e1c3eb39d3e4c237e8f682745caaceb",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e6ead526832eec2aa8175400ab0ea29",4,2,24,0,3,14,50,72,5,0,0,0,0,0,21,8,2,0,0,0,0,0
"0f29aec4e7dafdd70a57ac1e3c3f6dcf",0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"101a0c48addd9964a65ece01ec5fc1db",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0
"10f6ec05551665bce8f1942bbdded715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12081ff9c48c809bcd85b29b7a5011ee",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"128ed17cb7931cd03f546d81102936b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1621f9afddf139e3c5fda841eaa78968",5,0,0,0,0,0,0,0,0,0,0,7,8,3,0,0,0,0,0,0,0,0
"164f661db25160341895d79823e73950",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"17471cb529adcb51c4111d6bc2d821c5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"17e3269c6377143ae4d7fdd2c88aef45",0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"18f5d3b57312818fb6393f179543950c",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985cd54ab819b16fedcef9dc1aa435a",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"1a390745651f02fdf5ecf394cde030f0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ad668a41aac5debc81f6a3ce19880d9",3,0,0,0,5,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1b5e0e454ab7ebb804e1a7790dd16aba",0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1b74fe0dc73b1a4a18640db200b5f78d",0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3
"1bdd207c2b5a6578f4698c9002dcd069",0,12,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1c2c4481171be567789843de77e41d11",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c4cd61e295870e81876450db56481a5",0,2,11,0,0,13,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0
"1cfe39fb89ec2b3729292bc3a06c33a2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d07bfb45f965ec1b37e15ba15b572c8",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d8aca6733efbdca55134d3d6eb1d5b8",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1e0398454e9d01703d1fefcb873d6343",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"1e6df7f9f0d490e45f8d65a02f881489",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207647183ba0333a1ed361c02ea50d0f",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211f5d22bb693d6843475d918ed00370",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24c70ba42443f6cc45265a2769e4e49c",7,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0
"259933104865d0181d7a213e14fa6a24",3,1,26,0,0,241,0,19,135,21,0,0,16,0,0,0,8,4,23,0,20,29
"2628bc3ce0449352d3090092eba9ebc8",0,0,0,0,0,0,0,0,1,4,5,4,0,0,0,0,0,1,0,0,2,2
"283a8c31817c78de01d6f8767b08781a",0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2849ae4e04864aa470fcafd5f8c86473",2,20,0,1,4,10,12,9,2,3,0,0,0,2,0,5,10,0,3,12,4,0
"28e91c45b68e92c4db0daafed17a5974",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"298bf2a2be0e9900d8768bda3c1b329c",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
