"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"00832a3584b7b6a7974ad9794d181080",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"00b9f7cfaad6714a0a740d4a6d92c2e7",1,4,0,7,0,7,8,4,0,10,0,7,2,26,0,0,2,0,0,3,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00fb68e47adfc60c29b079702dd3a7e0",0,0,0,9,8,4,0,0,12,17,20,0,0,0,0,13,14,0,0,0,10
"0115cc192c7fe18c66b846586a518cab",0,0,0,11,0,0,0,8,0,12,0,13,0,0,8,0,24,31,8,4,11
"011fa9a4d5f5094db7fa13e0deec3475",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"02217ce5774022c7404c6bd0d4a2ccf9",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"026c46cdc1ae3f6cf9501beb54fa2532",0,0,1,0,1,0,0,0,0,0,12,4,1,0,1,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,1,0,4,0,0,0,0,0,6,0,2,0,0,0,0,6,0,0,1
"06e93a1ef1306c65d6e2a68a039d0039",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,1,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,2,0
"0798bc4b2b5f721f76fce95fa7c4ad65",0,0,2,0,0,1,1,1,26,7,1,12,9,14,10,13,5,2,1,0,3
"08b01942a8693872cf3a3bd50508d2d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"08d18eef87874a2c4eb73552d7916f2d",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0
"09a89a3685785c1fb61e6a60ac46a7bc",0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a667e34252be42cc613e4f2259d1b1c",40,48,31,0,0,0,15,0,44,0,0,0,71,120,198,194,0,16,157,107,0
"0a7fe3595e40caeafecb26f55ecf526d",0,0,6,0,0,0,1,0,0,0,0,3,3,0,0,1,0,0,3,0,0
"0c770efe5e803fcfb94717b5b50dd4a8",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,0,0,0,0,3,7,0,0,5,0,1,1,6,0,0,1,0,3,0
"0db587bb2a24679c3dedd2f3d99bdffe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ddc4f9500212f1dda7e91831770186a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0f29aec4e7dafdd70a57ac1e3c3f6dcf",0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,7,0,0,0,0,0
