"","HPC1491","HPC1492","HPC1493","HPC1494","HPC1495","HPC1496","HPC1497","HPC1498","HPC1500","HPC1501","HPC1502","HPC1503","HPC1504","HPC1506","HPC1507","HPC1512","HPC1515","HPC1517","HPC1518","HPC1519","HPC1520","HPC1518KNZ"
"00b9f7cfaad6714a0a740d4a6d92c2e7",8,0,0,0,7,4,6,1,5,16,0,0,17,0,8,7,0,0,0,0,0,0
"00fb68e47adfc60c29b079702dd3a7e0",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"01356770c03c794d8c10c9584ce069c7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"019b0519517852defce025ec2f3a43f9",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02217ce5774022c7404c6bd0d4a2ccf9",0,0,0,0,0,0,0,12,0,0,28,0,2,0,0,0,0,0,7,0,0,5
"026c46cdc1ae3f6cf9501beb54fa2532",0,0,0,0,3,0,0,0,3,0,0,4,4,0,0,1,31,5,0,0,5,0
"02fe720e318c829f48ced96b71e9ae99",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"035bcd1d9af45acab031b1b03fdb7aac",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"05703ed30530df3decdded2e69235587",0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0
"05af9519d853e5639f9b6b44467282fe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,1
"06e93a1ef1306c65d6e2a68a039d0039",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"074b3980ba954093004b40bc10725889",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0814700c3c601fa02ee43c1b6838e4e6",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0890c5dc3a8f393f1c03994efbc9b0c0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"08b01942a8693872cf3a3bd50508d2d7",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
"09153f4ecbcbd805f2432e4170d22613",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"09499b5aa21475970d3bae2de467f60c",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09d8c46bf96a2781fb219eccffc2f75f",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"0a1262599880334ac4fefda22d067519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0a55820148562eef7c47af5ab05610b8",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"0a7fe3595e40caeafecb26f55ecf526d",2,25,6,3,0,3,0,2,0,0,4,2,13,0,0,9,0,0,0,0,6,0
"0af52ddb668e460e74c1cb030b056f6b",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"0afb9118d3f6846414574d46471c3c59",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,0,19,0,0
"0c770efe5e803fcfb94717b5b50dd4a8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"0cde90f43f801d279fa011bfb4c6b3a6",0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
