"","HPC1521","HPC1522","HPC1524","HPC1525","HPC1526","HPC1527","HPC1528","HPC1529","HPC1531","HPC1532","HPC1533","HPC1534","HPC1536","HPC1539","HPC1540","HPC1541","HPC1542","HPC1544","HPC1546","HPC1547","HPC1549","HPC1550"
"00832a3584b7b6a7974ad9794d181080",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"00b9f7cfaad6714a0a740d4a6d92c2e7",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",8,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"0185932c3c7166d85ef932de1b14cfe1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"02b1f2a0da8827e721e10015f98811e6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"02e3e0f0b94e50ef2d8644a57ba5f466",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
"033f5bd5245fd93273db013ecfaf1fb0",0,49,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,109,0,0,0,4
"035bcd1d9af45acab031b1b03fdb7aac",0,0,0,0,0,29,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,2,0,18,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"05af9519d853e5639f9b6b44467282fe",0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,4,0
"069f183ab5a5cf8d67d73bc695809c6b",0,0,0,0,72,129,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,1,5
"06fbddb56fbc5b3ca6e2b71ea921bd50",3,0,6,0,0,0,0,0,9,0,0,3,0,12,3,0,0,0,0,2,0,4
"0837b657c1d1f43f280ef2435311c939",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"088afd5a3a18b602d8b1603556719420",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"08ca358ce38892e235f7054771e57b93",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0
"0a1262599880334ac4fefda22d067519",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"0a55820148562eef7c47af5ab05610b8",0,19,10,17,14,18,12,2,1,11,0,0,6,0,2,4,12,1,0,11,18,4
"0a7fe3595e40caeafecb26f55ecf526d",0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b19538c4616c2e4675c64cbf73a3372",2,1,0,0,13,0,6,3,9,19,0,3,2,0,7,0,0,0,0,2,1,14
"0b4aa7d9505c525678f6cf1f3501d951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"0d136193a495427b25467923bbf469bd",95,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,2,0,6,4,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"0f1b44d6e53647c4c9335b8701cc4314",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0f29aec4e7dafdd70a57ac1e3c3f6dcf",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"0f5c88a54d6007485912717d5bafb999",6,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,13,9
"10682ee1eb9e040a49b00b35f5920015",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"10839859eac5ca8431ee848d9f00803f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"10e5f4a0a45782e74568a9ed32c54bbe",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128a7930b5f5e4376c85a4d10e619b67",0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"128ed17cb7931cd03f546d81102936b6",3,0,1,5,0,0,0,0,6,7,0,0,5,0,7,0,0,0,2,0,0,0
"13a47711ff7b06937abe13f51ea57202",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13eafc60002a2def40a44cadba71a4af",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"14e02c3f063caa94b0cc4cd379e48340",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157a3ae68f649aa19985b36aeb2b5cc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16f020830e952b571bc6361e7506bdc6",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"17332728e59dc0a6d6015eb75b324a49",0,0,0,0,0,0,0,0,3,0,11,0,14,18,0,0,0,4,0,0,0,0
"1865baa970105b9d8ae8063fb9ba26bd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"18cadcffaff74a9880cf0d2b09896f19",0,55,0,0,19,3,0,0,0,0,0,0,0,0,0,68,0,46,0,0,0,0
"18f5d3b57312818fb6393f179543950c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1985cd54ab819b16fedcef9dc1aa435a",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"1aca3264ec91d514a4c11c3cb321f3e0",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1
"1ade5f532df56f5ca93c079f16f61dfc",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"1b008844ab1e1200398d3a38eeafcf19",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1b74fe0dc73b1a4a18640db200b5f78d",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1bfac9024b73f6407173a808838dfa94",1,0,0,0,0,0,3,0,1,0,0,0,8,5,5,0,0,2,3,31,0,3
"1c2c4481171be567789843de77e41d11",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1cd3f843ddb7b340d7edf5da668a648e",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"1d5db8b43506538dc873100dbf1babe9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f41f115cb405f2ac7a1db6f0d47013a",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f42e59f79bfc8aa12bf8282c35787eb",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2031af0ed6bc6004eb969e62bd0624b4",0,45,0,10,8,106,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"207647183ba0333a1ed361c02ea50d0f",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"22bfdf922188ba93ee555cd3a5ac5d48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"24791d3d91858737c317d435d768b6aa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2581bcf75073c372b9f2c2ac8eac998c",0,0,0,0,0,1,0,0,0,0,0,0,11,4,2,0,0,0,2,0,3,6
"259933104865d0181d7a213e14fa6a24",0,0,14,0,45,0,0,0,43,21,14,31,0,0,48,19,0,6,8,57,0,0
"261935bf4d4df64dc9206ab7ccfd645e",0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"2628bc3ce0449352d3090092eba9ebc8",22,0,1,11,0,0,4,0,3,0,45,4,14,18,16,2,8,20,10,0,4,2
"26ba00ca8357396d16b94d11255d71ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"26f339506d88e7b057613ee1c5bc510d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2826584c4dae42748e6c34f9a192d6ab",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2835e6b3ed880a518c4a7cc45aa2492d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28e91c45b68e92c4db0daafed17a5974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
