"","HPC1581","HPC1583","HPC1584","HPC1585","HPC1586","HPC1587","HPC1589","HPC1591","HPC1592","HPC1594","HPC1596","HPC1597","HPC1599","HPC1600","HPC1601","HPC1602","HPC1603","HPC1605","HPC1607","HPC1608","HPC1609","HPC1610"
"001745c5db838e2383d051929e908be1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"00db141e7cf1c2a9de519b6703d3301a",0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0180b9cddc616bc73cb330e1475e4808",0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"019b0519517852defce025ec2f3a43f9",0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0
"02220fccc405a8b8f9b18ba70c9ab6b2",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"026c46cdc1ae3f6cf9501beb54fa2532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"02f1e9bb0ea9da186cc93e71db81e9bb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"03b7772f2168ac3e041fec207cd257cf",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"03da7b8a89bba96f12c045c8df2d2365",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"0439d6960acb7b6a6f194f6396f3cc1d",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"04bab2af8215d1184e1e8a06ccae904f",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"055bdbf5208d97fa30b7fc6f97552546",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"05af9519d853e5639f9b6b44467282fe",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"062128647b7039b483a796d626611e6d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"069563643cf6909aa9670ae7c0588c74",0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"069f183ab5a5cf8d67d73bc695809c6b",0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0
"06e93a1ef1306c65d6e2a68a039d0039",0,0,14,9,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"06f4dea6ac43bf6564f3b69b128f6b10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"06fbddb56fbc5b3ca6e2b71ea921bd50",0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0
"07280755834d1922dbd391b13ddcc636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"07f3c079e01635caa0e30633c01fecd6",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
