Site,CWRSCSCY_2019,DMRSCSCY_2019,HSCSCSCY_2019,HTMSCSCY_2019,KNZSCSCY_2020,KWDSCSCY_2019,MPSCSCY_2019,PCSCSCY_2019,RRSCSCY_2019,SPSCSCY_2019
001745c5db838e2383d051929e908be1,0,0,0,0,0,0,0,0,0,7
008167913ce8eac6ad6cb522d7a1990a,0,364,0,138,83,0,0,0,0,0
00832a3584b7b6a7974ad9794d181080,0,1,7,0,0,0,3,0,1,0
00b9f7cfaad6714a0a740d4a6d92c2e7,20,0,38,0,1,8,81,79,12,0
00d68b2855f660cd2fee44bf26b3821c,0,0,0,0,0,1,0,0,0,0
00db141e7cf1c2a9de519b6703d3301a,48,0,2,0,8,15,4,0,14,8
00fb68e47adfc60c29b079702dd3a7e0,19,0,0,0,0,0,107,2,0,0
0115cc192c7fe18c66b846586a518cab,0,0,0,0,0,0,130,0,0,0
011fa9a4d5f5094db7fa13e0deec3475,0,0,0,0,1,0,4,0,0,0
01356770c03c794d8c10c9584ce069c7,0,0,0,0,0,0,0,1,0,0
01404cb98895d58a0181327432d1777d,2,3,0,175,27,0,0,0,0,0
0176faebc1401add55c602c315bdfb31,0,17,0,0,0,0,0,0,0,0
0180b9cddc616bc73cb330e1475e4808,0,0,0,0,44,14,0,0,0,5
0185932c3c7166d85ef932de1b14cfe1,8,0,0,0,7,0,0,0,5,0
019b0519517852defce025ec2f3a43f9,0,0,0,0,1,0,0,6,0,646
01c7863997c76ec9b6edf09720da3d75,0,0,0,0,9,0,0,0,0,0
02217ce5774022c7404c6bd0d4a2ccf9,43,0,0,0,48,0,21,54,0,0
02220fccc405a8b8f9b18ba70c9ab6b2,2,0,0,0,0,0,0,0,0,3
025476b7795071c7a4ac3ef5f26c4ea7,0,0,0,0,3,0,0,0,0,0
02572cbf807aaf23803bc3e7e6926af9,5,0,0,0,0,0,0,0,0,0
026c46cdc1ae3f6cf9501beb54fa2532,0,10,0,0,54,0,20,56,0,1
02b1f2a0da8827e721e10015f98811e6,7,3,1,0,0,0,0,0,1,0
02e3e0f0b94e50ef2d8644a57ba5f466,0,0,0,0,0,0,0,0,7,0
