,CWRTRS1Y_2018,CWRTRS1Y_2019,CWRTRS2Y_2018,CWRTRS2Y_2019,CWRTRS3Y_2018,CWRTRS3Y_2019,CWRTRS4Y_2018,CWRTRS4Y_2019,CWRTRS5Y_2019,CWRTRS6Y_2018,CWRTRS6Y_2019,DMRTRS1Y_2019,DMRTRS2Y_2019,DMRTRS3Y_2019,DMRTRS4Y_2019,DMRTRS5Y_2019,DMRTRS6Y_2019,HSCTRS1Y_2018,HSCTRS1Y_2019,HSCTRS2Y_2018,HSCTRS2Y_2019,HSCTRS3Y_2018,HSCTRS3Y_2019,HSCTRS4Y_2018,HSCTRS4Y_2019,HSCTRS5Y_2019,HSCTRS6Y_2019,HTMTRS1Y_2019,HTMTRS2Y_2019,HTMTRS3Y_2019,HTMTRS4Y_2019,HTMTRS5Y_2019,HTMTRS6Y_2019,KNZKNZ1-1Y_2020,KNZKNZ1-2Y_2020,KNZKNZ1-3Y_2020,KNZKNZ1-4Y_2020,KNZKNZ2-1Y_2020,KNZKNZ2-2Y_2020,KNZKNZ2-3Y_2020,KNZKNZ2-4Y_2020,KNZKNZ3-1Y_2020,KNZKNZ3-2Y_2020,KNZKNZ3-3Y_2020,KNZKNZ3-4Y_2020,KWDTRS1Y_2018,KWDTRS1Y_2019,KWDTRS2Y_2018,KWDTRS2Y_2019,KWDTRS3Y_2018,KWDTRS3Y_2019,KWDTRS4Y_2018,KWDTRS4Y_2019,KWDTRS5Y_2019,KWDTRS6Y_2019,MPTRS1Y_2019,MPTRS2Y_2019,MPTRS3Y_2019,MPTRS4Y_2019,MPTRS5Y_2019,MPTRS6Y_2019,PCTRS1Y_2018,PCTRS1Y_2019,PCTRS2Y_2018,PCTRS2Y_2019,PCTRS3Y_2018,PCTRS3Y_2019,PCTRS4Y_2018,PCTRS4Y_2019,PCTRS5Y_2019,PCTRS6Y_2019,RRTRS1Y_2019,RRTRS2Y_2019,RRTRS3Y_2019,RRTRS4Y_2019,RRTRS5Y_2019,RRTRS6Y_2019,SPTRS1Y_2018,SPTRS1Y_2019,SPTRS2Y_2018,SPTRS2Y_2019,SPTRS3Y_2018,SPTRS3Y_2019,SPTRS4Y_2018,SPTRS4Y_2019,SPTRS5Y_2019,SPTRS6Y_2019
001745c5db838e2383d051929e908be1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
003151bda067056267166d9b2042329a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
003e9e338e147dda6d5fdf702f968b43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008167913ce8eac6ad6cb522d7a1990a,0,0,0,0,0,0,0,0,0,0,0,0,0,161,72,6,125,0,0,0,0,0,0,0,0,0,0,0,5,115,18,0,0,0,2,48,27,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0
00832a3584b7b6a7974ad9794d181080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00aeade16eada4e90fb7a5c17a34db44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b9f7cfaad6714a0a740d4a6d92c2e7,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,1,0,5,24,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,19,0,4,0,5,14,22,35,2,3,0,15,0,16,0,33,0,8,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00d68b2855f660cd2fee44bf26b3821c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00db141e7cf1c2a9de519b6703d3301a,8,8,1,6,0,31,0,0,3,10,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,11,0,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0,0,0,6,0,2,7,0,17,0,0,0
00fb68e47adfc60c29b079702dd3a7e0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,13,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
