Code,Location,Region,mean_annual_precipitation,latitude_old,longitude_old,latitude,longitude
PC,Prairie Coteau,West,686,44.7463,-96.9263,44.3549003,-96.15444117
SP,Sioux Prairie,West,564,44.0322149,-96.78054,44.0322149,-96.78054
KNZ,Konza Prairie,West,835,39.076272,-96.592229,39.10705963,-96.60908656
HTM,Hole-in-the Mountain Prairie,West,629,44.14408,-96.17912,44.54606892,-96.29747775
DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,43.80364153,-95.07523069
RR,Red Rock Prairie,Central,726,44.5151,-95.10196,44.08080842,-95.02000495
CWR,Cottonwood River SNA,Central,699,44.1214157,-95.06171,44.2025907,-95.10283789
HSC,Hasting Sand Coulee ,East,850,44.424283e,-92.49619,44.49370863,-92.81762994
KWD,Kellogg Weaver Dunes,East,892,44.1548645,-91.55963,44.257995,-91.93188419
MP,Mound Prairie SNA,East,939,43.45996,-91.25462,43.76916498,-91.41571219
